annotation,count
hypothetical protein,10582687
MULTISPECIES: hypothetical protein,1478845
ABC transporter ATP-binding protein,826537
ABC transporter permease,718071
MFS transporter,608034
GNAT family N-acetyltransferase,562707
helix-turn-helix domain-containing protein,526520
TetR/AcrR family transcriptional regulator,465042
ABC transporter substrate-binding protein,431529
sensor histidine kinase,418059
LysR family transcriptional regulator,312062
class I SAM-dependent methyltransferase,311624
SDR family NAD(P)-dependent oxidoreductase,293988
ATP-binding protein,293909
response regulator,289853
alpha/beta fold hydrolase,289118
SDR family oxidoreductase,277919
response regulator transcription factor,259623
VOC family protein,255469
carbohydrate ABC transporter permease,247439
helix-turn-helix transcriptional regulator,242513
alpha/beta hydrolase,241330
tetratricopeptide repeat protein,239168
AAA family ATPase,207965
glycosyltransferase,204396
NAD(P)/FAD-dependent oxidoreductase,187433
MarR family winged helix-turn-helix transcriptional regulator,187241
glycosyltransferase family 2 protein,185534
acyl-CoA dehydrogenase family protein,178646
MBL fold metallo-hydrolase,172264
DMT family transporter,172116
GntR family transcriptional regulator,160322
RNA polymerase sigma factor,156005
LacI family DNA-binding transcriptional regulator,150124
TonB-dependent receptor,145569
glycosyltransferase family 4 protein,144771
methyl-accepting chemotaxis protein,142627
"hypothetical protein, partial",136199
FAD-dependent oxidoreductase,131893
aldo/keto reductase,131185
DEAD/DEAH box helicase,128286
AraC family transcriptional regulator,127488
efflux RND transporter periplasmic adaptor subunit,126455
Gfo/Idh/MocA family protein,124665
HAD family hydrolase,121835
MULTISPECIES: ABC transporter ATP-binding protein,121662
ATP-binding cassette domain-containing protein,120134
MULTISPECIES: ABC transporter permease,114766
cupin domain-containing protein,112217
ArsR/SmtB family transcription factor,108335
NUDIX hydrolase,106785
tyrosine-type recombinase/integrase,104944
efflux RND transporter permease subunit,104747
MULTISPECIES: helix-turn-helix domain-containing protein,104523
nuclear transport factor 2 family protein,104194
SRPBCC family protein,103846
amidohydrolase family protein,102821
MerR family transcriptional regulator,102216
NAD-dependent epimerase/dehydratase family protein,97611
serine hydrolase domain-containing protein,91256
sigma-70 family RNA polymerase sigma factor,89637
universal stress protein,87305
LLM class flavin-dependent oxidoreductase,86848
cytochrome P450,82333
c-type cytochrome,80771
transposase,78262
MULTISPECIES: GNAT family N-acetyltransferase,78075
aldehyde dehydrogenase family protein,77728
MULTISPECIES: TetR/AcrR family transcriptional regulator,77412
Crp/Fnr family transcriptional regulator,77016
MULTISPECIES: MFS transporter,75634
branched-chain amino acid ABC transporter permease,74265
AMP-binding protein,73847
SusC/RagA family TonB-linked outer membrane protein,73508
Lrp/AsnC family transcriptional regulator,73314
serine/threonine-protein kinase,72007
extracellular solute-binding protein,70426
sulfite exporter TauE/SafE family protein,70045
peptidylprolyl isomerase,69597
GGDEF domain-containing protein,69473
winged helix-turn-helix transcriptional regulator,69104
sugar phosphate isomerase/epimerase family protein,68888
IclR family transcriptional regulator,68810
lysophospholipid acyltransferase family protein,68765
acyltransferase family protein,68484
