annotation,is_amr,category,confidence,evidence_terms,reason,row_idx
resistance to heterologous antibiotics,,antibiotic_resistance,,,,0
antibiotic resistance protein,,antibiotic_resistance,,,,1
antibiotic-resistance protein,,antibiotic_resistance,,,,2
multiple antibiotic resistance protein,,antibiotic_resistance,,,,3
peptide antibiotic resistance protein,,antibiotic_resistance,,,,4
two-component response regulator controlling resistance to antibiotics affecting the envelope,,antibiotic_resistance,,,,5
penicillinase antirepressor,,antibiotic_resistance,,,,6
bacitracin resistance,,antibiotic_resistance,,,,7
methicillin resistance factor,,antibiotic_resistance,,,,8
putative antibiotic resistance (acetyltransferase) protein,,antibiotic_resistance,,,,9
antimicrobial resistance protein Mig-14,,antibiotic_resistance,,,,10
antibiotic resistance protein VanZ,,antibiotic_resistance,,,,11
cell wall-active antibiotics response protein,,antibiotic_resistance,,,,12
ampicillin resistance inner membrane protein AmpE,,antibiotic_resistance,,,,13
methicillin resistance protein,,antibiotic_resistance,,,,14
chloramphenicol resistance,,antibiotic_resistance,,,,15
multiple antibiotic resistance MarC-like protein,,antibiotic_resistance,,,,16
antimicrobial peptide resistance and lipid A acylation PagP,,antibiotic_resistance,,,,17
multiple antibiotic resistance transcriptional regulator,,antibiotic_resistance,,,,18
integral inner membrane protein regulating antibiotic production,,non_amr_antibiotic_biosynthesis,,,,19
bacitracin resistance protein,,antibiotic_resistance,,,,20
multiple antibiotic resistance (MarC)-like protein,,antibiotic_resistance,,,,21
antibiotic biosynthesis monooxygenase,,non_amr_antibiotic_biosynthesis,,,,22
arsenical resistance operon transcriptional repressor,,non_amr_metal_resistance,,,,23
antibiotic biosynthesis protein AlbB,,non_amr_antibiotic_biosynthesis,,,,24
"antibiotic biosynthesis monooxygenase, partial",,non_amr_antibiotic_biosynthesis,,,,25
antibiotic biosynthesis monooxygenase family protein,,non_amr_antibiotic_biosynthesis,,,,26
beta-lactam resistance protein,,antibiotic_resistance,,,,27
multiple antibiotic resistance protein MarB,,antibiotic_resistance,,,,28
sensor of antibiotic stress on the cell wall,,antibiotic_resistance,,,,29
bacitracin resistance undecaprenyl-diphosphatase,,antibiotic_resistance,,,,30
erythromycin resistance leader peptide,,antibiotic_resistance,,,,31
two-component sensor histidine kinase controlling resistance to antibiotics affecting the envelope,,antibiotic_resistance,,,,32
multiple antibiotic resistance regulatory protein MarB,,antibiotic_resistance,,,,33
MULTISPECIES: peptide antibiotic resistance protein,,antibiotic_resistance,,,,34
putative antibiotic immunity protein,,antibiotic_resistance,,,,35
anti-CRISPR protein,,non_amr_virulence,,,,36
bacitracin resistance protein bacA,,antibiotic_resistance,,,,37
putative antibiotic biosynthesis monooxygenase,,non_amr_antibiotic_biosynthesis,,,,38
"cell wall-active antibiotics response protein, partial",,antibiotic_resistance,,,,39
resistance protein,,antibiotic_resistance,,,,40
multidrug resistance secretion protein,,antibiotic_resistance,,,,41
antibiotic efflux protein,,antibiotic_resistance,,,,42
antibiotic transporter,,ambiguous,,,,43
MULTISPECIES: efflux pump antibiotic resistance protein,,antibiotic_resistance,,,,44
tetracycline resistance ribosomal protection protein,,antibiotic_resistance,,,,45
chloramphenicol resistance protein,,antibiotic_resistance,,,,46
colistin resistant protein CrrC,,antibiotic_resistance,,,,47
tetracycline resistance MFS efflux pump,,antibiotic_resistance,,,,48
microbial anti-inflammatory protein,,non_amr_virulence,,,,49
antibiotic biosynthesis regulator FhaB,,non_amr_antibiotic_biosynthesis,,,,50
"antibiotic biosynthesis monooxygenase family protein, partial",,non_amr_antibiotic_biosynthesis,,,,51
methicillin resistance protein FmtA,,antibiotic_resistance,,,,52
phenazine antibiotic biosynthesis protein,,non_amr_antibiotic_biosynthesis,,,,53
arsenical resistance transcriptional repressor,,non_amr_metal_resistance,,,,54
