row_idx,annotation,score,semantic_rank,status,is_amr,category,confidence,evidence_terms,reason,error_message,retry_count,completed_at,updated_at
0,resistance to heterologous antibiotics,0.5951078534126282,1,completed,,antibiotic_resistance,0.97,"[""resistance"",""antibiotics""]","The annotation explicitly indicates resistance to antibiotics, which is an AMR function. 'Heterologous antibiotics' suggests resistance to antibiotics not produced by the organism, but it is still clearly antibiotic resistance.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
1,antibiotic resistance protein,0.5703296661376953,2,completed,,antibiotic_resistance,0.99,"[""antibiotic resistance"",""protein""]","The annotation explicitly states antibiotic resistance, which directly indicates an AMR function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
2,antibiotic-resistance protein,0.5612385869026184,3,completed,,antibiotic_resistance,0.99,"[""antibiotic-resistance"",""protein""]","The annotation explicitly states antibiotic resistance, indicating an AMR-related protein.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
3,multiple antibiotic resistance protein,0.5201917886734009,4,completed,,antibiotic_resistance,0.97,"[""multiple antibiotic resistance"",""resistance protein""]","The annotation explicitly indicates a protein involved in resistance to multiple antibiotics, which is a clear AMR-associated function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
4,peptide antibiotic resistance protein,0.5038533210754395,5,completed,,antibiotic_resistance,0.97,"[""peptide antibiotic resistance"",""resistance protein""]","The annotation explicitly describes a protein involved in resistance to peptide antibiotics, which is an AMR function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
5,two-component response regulator controlling resistance to antibiotics affecting the envelope,0.502392053604126,6,completed,,antibiotic_resistance,0.96,"[""response regulator"",""controlling resistance"",""antibiotics affecting the envelope""]","The annotation explicitly states a regulatory role in resistance to antibiotics, specifically those affecting the envelope. This is directly AMR-related rather than generic transport or virulence.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
6,penicillinase antirepressor,0.4835628271102905,7,completed,,antibiotic_resistance,0.96,"[""penicillinase"",""antirepressor""]","Penicillinase is a beta-lactamase associated with penicillin resistance; an antirepressor typically regulates expression of such resistance enzymes, so this annotation is AMR-related.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
7,bacitracin resistance,0.4805207848548889,8,completed,,antibiotic_resistance,0.99,"[""bacitracin"",""resistance""]","Explicitly describes resistance to bacitracin, which is an antibiotic resistance phenotype/category.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
8,methicillin resistance factor,0.47979962825775146,9,completed,,antibiotic_resistance,0.98,"[""methicillin resistance"",""resistance factor""]","The annotation explicitly indicates methicillin resistance, which is a clear antibiotic resistance function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
9,putative antibiotic resistance (acetyltransferase) protein,0.47611671686172485,10,completed,,antibiotic_resistance,0.97,"[""antibiotic resistance"",""acetyltransferase""]","The annotation explicitly states antibiotic resistance, and acetyltransferases are a common AMR mechanism by antibiotic-modifying acetylation.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
10,antimicrobial resistance protein Mig-14,0.47442612051963806,11,completed,,antibiotic_resistance,0.98,"[""antimicrobial resistance protein"",""Mig-14""]","The annotation explicitly labels the protein as an antimicrobial resistance protein, which directly indicates AMR rather than a generic transport or virulence function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
11,antibiotic resistance protein VanZ,0.47165384888648987,12,completed,,antibiotic_resistance,0.98,"[""antibiotic resistance protein"",""VanZ""]","VanZ is explicitly annotated as an antibiotic resistance protein, which fits AMR classification.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
12,cell wall-active antibiotics response protein,0.46984344720840454,13,completed,,antibiotic_resistance,0.89,"[""cell wall-active antibiotics"",""response protein""]","This annotation explicitly refers to a response protein associated with cell wall-active antibiotics, which strongly suggests a role in antibiotic resistance or tolerance rather than general metabolism or transport.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
13,ampicillin resistance inner membrane protein AmpE,0.466367244720459,14,completed,,antibiotic_resistance,0.97,"[""ampicillin resistance"",""AmpE"",""inner membrane protein""]","The annotation explicitly states ampicillin resistance, which is a beta-lactam antibiotic resistance function. AmpE is therefore classified as an AMR-associated protein.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
14,methicillin resistance protein,0.4635017216205597,15,completed,,antibiotic_resistance,0.99,"[""methicillin resistance""]","The annotation explicitly states methicillin resistance, which is a clear AMR function and falls under antibiotic resistance.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
15,chloramphenicol resistance,0.46181049942970276,16,completed,,antibiotic_resistance,0.99,"[""chloramphenicol"",""resistance""]","This explicitly refers to resistance against chloramphenicol, an antibiotic, so it is AMR.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
16,multiple antibiotic resistance MarC-like protein,0.4602122902870178,17,completed,,antibiotic_resistance,0.92,"[""multiple antibiotic resistance"",""MarC-like""]","The annotation explicitly indicates multiple antibiotic resistance, and MarC-like proteins are associated with antibiotic resistance rather than general transport or metabolism.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
17,antimicrobial peptide resistance and lipid A acylation PagP,0.4593900442123413,18,completed,,antibiotic_resistance,0.98,"[""antimicrobial peptide resistance"",""lipid A acylation"",""PagP""]","PagP is associated with resistance to antimicrobial peptides through lipid A acylation, which is a known AMR mechanism rather than general metabolism or virulence.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
18,multiple antibiotic resistance transcriptional regulator,0.4579217731952667,19,completed,,antibiotic_resistance,0.93,"[""multiple antibiotic resistance"",""transcriptional regulator""]","This annotation explicitly refers to a multiple antibiotic resistance regulator, which is associated with controlling antibiotic resistance mechanisms, so it is AMR-related.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
19,integral inner membrane protein regulating antibiotic production,0.45572298765182495,20,completed,,non_amr_antibiotic_biosynthesis,0.97,"[""antibiotic production"",""regulating""]","The annotation indicates a protein involved in regulating antibiotic production, which is associated with antibiotic biosynthesis/control rather than antibiotic resistance. There is no evidence of resistance function, target protection, or drug efflux.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
20,bacitracin resistance protein,0.45314034819602966,21,completed,,antibiotic_resistance,0.99,"[""bacitracin resistance"",""resistance protein""]","Explicitly described as a bacitracin resistance protein, which is an antimicrobial resistance function.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
21,multiple antibiotic resistance (MarC)-like protein,0.44998228549957275,22,completed,,antibiotic_resistance,0.91,"[""multiple antibiotic resistance"",""MarC-like""]","The phrase explicitly references multiple antibiotic resistance, which is a clear AMR-related annotation. MarC-like proteins are associated with antibiotic resistance-related functions rather than biosynthesis or general transport.",,0,2026-04-17T00:12:12.699Z,2026-04-17T00:12:12.699Z
